Iteration;Time;BestFitness;CurrentFitness;Threshold
1;0,017;410,0;429,0;429,0
2;0,023;409,0;410,0;410,0
4;0,03;408,0;409,0;409,0
5;0,071;402,0;408,0;408,0
7;0,075;401,0;402,0;402,0
8;0,084;400,0;401,0;401,0
9;0,084;400,0;400,0;401,0
11;0,085;400,0;400,0;401,0
14;0,092;395,0;400,0;400,0
15;0,126;389,0;395,0;395,0
16;0,128;388,0;389,0;389,0
17;0,129;388,0;388,0;389,0
18;0,134;387,0;388,0;388,0
19;0,141;384,0;387,0;387,0
20;0,143;383,0;384,0;384,0
21;0,159;382,0;383,0;383,0
22;0,162;376,0;382,0;382,0
23;0,165;370,0;376,0;376,0
24;0,165;370,0;370,0;376,0
25;0,167;362,0;370,0;370,0
26;0,169;361,0;362,0;362,0
27;0,17;361,0;361,0;362,0
28;0,175;351,0;361,0;361,0
29;0,175;351,0;351,0;361,0
31;0,181;347,0;351,0;351,0
33;0,186;344,0;347,0;347,0
34;0,188;341,0;344,0;344,0
36;0,19;340,0;341,0;341,0
40;0,191;340,0;340,0;341,0
42;0,194;337,0;340,0;340,0
43;0,195;336,0;337,0;337,0
45;0,196;336,0;336,0;337,0
46;0,199;323,0;336,0;336,0
47;0,2;322,0;323,0;323,0
49;0,201;322,0;322,0;323,0
50;0,203;318,0;322,0;322,0
51;0,203;318,0;318,0;322,0
53;0,205;315,0;318,0;318,0
55;0,205;315,0;315,0;318,0
56;0,207;314,0;315,0;315,0
57;0,212;311,0;314,0;314,0
61;0,213;311,0;311,0;314,0
64;0,22;309,0;311,0;311,0
67;0,226;306,0;309,0;309,0
70;0,229;303,0;306,0;306,0
71;0,23;300,0;303,0;303,0
75;0,231;300,0;300,0;303,0
77;0,231;300,0;300,0;303,0
78;0,233;299,0;300,0;300,0
80;0,235;297,0;299,0;299,0
81;0,237;294,0;297,0;297,0
82;0,239;290,0;294,0;294,0
84;0,242;289,0;290,0;290,0
85;0,244;286,0;289,0;289,0
88;0,247;285,0;286,0;286,0
89;0,248;285,0;285,0;286,0
90;0,251;282,0;285,0;285,0
93;0,253;279,0;282,0;282,0
94;0,255;274,0;279,0;279,0
96;0,258;273,0;274,0;274,0
97;0,26;272,0;273,0;273,0
98;0,268;271,0;272,0;272,0
99;0,275;269,0;271,0;271,0
100;0,285;266,0;269,0;269,0
103;0,288;263,0;266,0;266,0
104;0,29;260,0;263,0;263,0
105;0,293;259,0;260,0;260,0
107;0,296;256,0;259,0;259,0
108;0,298;249,0;256,0;256,0
109;0,299;249,0;249,0;256,0
110;0,304;245,0;249,0;249,0
114;0,307;244,0;245,0;245,0
115;0,309;242,0;244,0;244,0
117;0,309;242,0;242,0;244,0
120;0,313;231,0;242,0;242,0
121;0,313;231,0;231,0;242,0
122;0,313;231,0;231,0;242,0
124;0,316;230,0;231,0;231,0
130;0,32;227,0;230,0;230,0
132;0,322;226,0;227,0;227,0
134;0,325;225,0;226,0;226,0
135;0,328;223,0;225,0;225,0
136;0,33;222,0;223,0;223,0
140;0,331;222,0;222,0;223,0
141;0,333;221,0;222,0;222,0
142;0,336;220,0;221,0;221,0
144;0,339;217,0;220,0;220,0
146;0,342;212,0;217,0;217,0
149;0,345;209,0;212,0;212,0
150;0,345;209,0;209,0;212,0
151;0,346;209,0;209,0;212,0
155;0,35;205,0;209,0;209,0
157;0,356;204,0;205,0;205,0
158;0,362;201,0;204,0;204,0
159;0,362;201,0;201,0;204,0
160;0,368;200,0;201,0;201,0
162;0,368;200,0;200,0;201,0
163;0,371;199,0;200,0;200,0
168;0,375;195,0;199,0;199,0
169;0,375;195,0;195,0;199,0
170;0,377;194,0;195,0;195,0
171;0,38;192,0;194,0;194,0
173;0,383;188,0;192,0;192,0
176;0,385;187,0;188,0;188,0
177;0,387;185,0;187,0;187,0
178;0,39;183,0;185,0;185,0
179;0,391;183,0;183,0;185,0
182;0,394;181,0;183,0;183,0
183;0,394;181,0;181,0;183,0
184;0,397;180,0;181,0;181,0
185;0,398;180,0;180,0;181,0
187;0,399;180,0;180,0;181,0
188;0,399;180,0;180,0;181,0
189;0,401;175,0;180,0;180,0
190;0,404;173,0;175,0;175,0
191;0,406;170,0;173,0;173,0
194;0,408;167,0;170,0;170,0
195;0,412;165,0;167,0;167,0
197;0,412;165,0;165,0;167,0
198;0,413;165,0;165,0;167,0
201;0,416;164,0;165,0;165,0
203;0,418;161,0;164,0;164,0
204;0,42;160,0;161,0;161,0
205;0,423;157,0;160,0;160,0
206;0,425;156,0;157,0;157,0
211;0,429;155,0;156,0;156,0
212;0,431;154,0;155,0;155,0
213;0,433;153,0;154,0;154,0
215;0,434;153,0;153,0;154,0
216;0,435;153,0;153,0;154,0
217;0,437;150,0;153,0;153,0
218;0,439;149,0;150,0;150,0
220;0,442;147,0;149,0;149,0
221;0,444;145,0;147,0;147,0
222;0,447;143,0;145,0;145,0
223;0,447;143,0;143,0;145,0
224;0,45;142,0;143,0;143,0
230;0,457;141,0;142,0;142,0
233;0,462;140,0;141,0;141,0
234;0,467;139,0;140,0;140,0
235;0,472;138,0;139,0;139,0
236;0,473;138,0;138,0;139,0
241;0,48;137,0;138,0;138,0
242;0,484;133,0;137,0;137,0
244;0,487;132,0;133,0;133,0
245;0,489;129,0;132,0;132,0
246;0,491;128,0;129,0;129,0
252;0,492;128,0;128,0;129,0
253;0,492;128,0;129,0;129,0
254;0,493;128,0;129,0;129,0
255;0,494;128,0;128,0;129,0
257;0,494;128,0;128,0;129,0
260;0,496;128,0;128,0;129,0
262;0,496;128,0;128,0;129,0
266;0,497;128,0;128,0;129,0
267;0,497;128,0;128,0;129,0
268;0,499;127,0;128,0;128,0
269;0,502;126,0;127,0;127,0
271;0,504;125,0;126,0;126,0
272;0,504;125,0;125,0;126,0
274;0,505;125,0;125,0;126,0
280;0,507;125,0;125,0;126,0
281;0,507;125,0;126,0;126,0
283;0,508;125,0;126,0;126,0
285;0,51;123,0;126,0;125,0
286;0,512;122,0;123,0;123,0
290;0,513;122,0;122,0;123,0
291;0,514;122,0;122,0;123,0
292;0,516;120,0;122,0;122,0
293;0,516;120,0;120,0;122,0
298;0,517;120,0;120,0;122,0
299;0,519;119,0;120,0;120,0
300;0,52;119,0;119,0;120,0
301;0,522;118,0;119,0;119,0
303;0,523;118,0;118,0;119,0
304;0,523;118,0;118,0;119,0
308;0,524;118,0;118,0;119,0
309;0,525;118,0;118,0;119,0
310;0,526;118,0;118,0;119,0
311;0,528;116,0;118,0;118,0
313;0,529;116,0;116,0;118,0
314;0,531;114,0;116,0;116,0
315;0,533;113,0;114,0;114,0
317;0,535;112,0;113,0;113,0
320;0,536;112,0;112,0;113,0
321;0,538;110,0;112,0;112,0
322;0,538;110,0;110,0;112,0
324;0,539;110,0;110,0;112,0
325;0,539;110,0;110,0;112,0
328;0,539;110,0;110,0;112,0
329;0,541;109,0;110,0;110,0
330;0,543;107,0;109,0;109,0
332;0,546;106,0;107,0;107,0
335;0,549;104,0;106,0;106,0
339;0,552;103,0;104,0;104,0
340;0,552;103,0;103,0;104,0
343;0,553;103,0;103,0;104,0
344;0,554;103,0;103,0;104,0
346;0,555;103,0;103,0;104,0
347;0,556;103,0;103,0;104,0
348;0,556;103,0;103,0;104,0
349;0,557;103,0;103,0;104,0
352;0,558;103,0;103,0;104,0
355;0,56;102,0;103,0;103,0
357;0,562;101,0;102,0;102,0
358;0,563;101,0;101,0;102,0
359;0,564;101,0;101,0;102,0
361;0,564;101,0;101,0;102,0
362;0,565;101,0;101,0;102,0
