Iteration;Time;BestFitness;Call-0;Best-0;Imp-0;Eq-0;Wrs-0;Tm-0;Call-1;Best-1;Imp-1;Eq-1;Wrs-1;Tm-1;Call-2;Best-2;Imp-2;Eq-2;Wrs-2;Tm-2;Call-3;Best-3;Imp-3;Eq-3;Wrs-3;Tm-3;Call-4;Best-4;Imp-4;Eq-4;Wrs-4;Tm-4;Call-5;Best-5;Imp-5;Eq-5;Wrs-5;Tm-5;Call-6;Best-6;Imp-6;Eq-6;Wrs-6;Tm-6;Call-7;Best-7;Imp-7;Eq-7;Wrs-7;Tm-7;Call-8;Best-8;Imp-8;Eq-8;Wrs-8;Tm-8;Call-9;Best-9;Imp-9;Eq-9;Wrs-9;Tm-9;Call-10;Best-10;Imp-10;Eq-10;Wrs-10;Tm-10;
1;0,003;429,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
1;0,015;410,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
2;0,021;409,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;1;1;1;0;0;0,001891;0;0;0;0;0;0,0;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
4;0,027;408,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;1;1;1;0;0;8,65E-4;1;1;1;0;0;0,001891;1;0;0;0;1;9,98E-4;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
5;0,069;402,0;1;1;1;0;0;0,037178;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;1;1;1;0;0;8,65E-4;1;1;1;0;0;0,001891;1;0;0;0;1;9,98E-4;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
7;0,073;401,0;1;1;1;0;0;0,037178;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;3;2;2;0;1;0,001754;1;1;1;0;0;0,001891;1;0;0;0;1;9,98E-4;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
8;0,08;400,0;1;1;1;0;0;0,037178;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;4;3;3;0;1;0,002314;1;1;1;0;0;0,001891;1;0;0;0;1;9,98E-4;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
9;0,084;395,0;1;1;1;0;0;0,037178;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;4;3;3;0;1;0,002314;2;2;2;0;0;0,003133;1;0;0;0;1;9,98E-4;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
10;0,087;392,0;1;1;1;0;0;0,037178;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;5;4;4;0;1;0,002815;2;2;2;0;0;0,003133;1;0;0;0;1;9,98E-4;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
12;0,104;391,0;1;1;1;0;0;0,037178;0;0;0;0;0;0,0;1;0;0;1;0;0,011895;0;0;0;0;0;0,0;6;5;5;0;1;0,003364;2;2;2;0;0;0,003133;1;0;0;0;1;9,98E-4;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
14;0,108;388,0;1;1;1;0;0;0,037178;0;0;0;0;0;0,0;1;0;0;1;0;0,011895;0;0;0;0;0;0,0;8;6;6;0;2;0,004301;2;2;2;0;0;0,003133;1;0;0;0;1;9,98E-4;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
18;0,116;387,0;1;1;1;0;0;0,037178;0;0;0;0;0;0,0;1;0;0;1;0;0,011895;2;0;0;1;1;0,001243;10;7;7;1;2;0,005172;2;2;2;0;0;0,003133;1;0;0;0;1;9,98E-4;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
19;0,119;383,0;1;1;1;0;0;0,037178;0;0;0;0;0;0,0;1;0;0;1;0;0,011895;2;0;0;1;1;0,001243;10;7;7;1;2;0,005172;3;3;3;0;0;0,004174;1;0;0;0;1;9,98E-4;1;1;1;0;0;0,006277;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
